,code,trade_year,trade_month,buildfinyear,houseage,buildstyle,area,pricettl,priceper,rooms,manage_y1n0
140,239,107,1,69,38,6,188.7,9000000,47695.0,5,0
141,238,106,12,72,34,1,89.24,5700000,63873.0,3,0
156,242,107,1,96,11,3,189.44,22600000,125602.0,3,1
158,221,106,10,98,8,3,97.88,9900000,101144.0,3,1
159,221,106,12,82,24,3,187.02,11500000,69021.0,3,1
163,237,106,12,96,10,3,197.14,15980000,81059.0,3,1
164,239,107,1,50,57,6,73.14,10400000,142193.0,6,0
169,220,106,12,69,37,1,96.8,10550000,108988.0,3,0
170,236,106,11,87,19,3,147.93,17000000,114919.0,3,1
171,220,106,12,50,56,6,84.48,15700000,185843.0,2,0
173,235,107,1,85,22,3,89.97999999999999,8250000,91687.0,3,1
186,224,106,12,50,56,6,152.8,5800000,37958.0,6,0
188,251,107,1,103,4,2,120.41,6300000,52321.0,2,1
189,251,107,1,90,17,3,51.46,5080000,98717.0,1,1
190,221,107,1,88,19,3,41.71,2300000,55143.0,1,1
192,242,107,1,83,24,3,69.62,6000000,86182.0,2,1
193,220,107,1,50,57,2,89.13000000000001,2250000,25244.0,2,0
194,220,106,12,50,56,1,46.84,4295000,91695.0,2,0
197,235,106,11,97,9,3,146.36,16100000,113519.0,3,1
198,235,107,1,93,14,3,153.54,14800000,96870.0,4,1
201,241,106,12,96,10,3,193.79000000000002,16300000,104415.0,3,1
203,251,107,1,103,4,3,149.29000000000002,8000000,55560.0,3,1
204,242,106,11,89,17,3,117.94999999999999,10100000,106163.0,2,1
205,242,107,1,97,10,3,157.71,15150000,106997.0,3,1
206,243,107,1,93,14,3,141.10999999999999,10000000,78308.0,3,1
219,237,107,1,85,22,2,138.75,10500000,75676.0,3,1
220,237,107,1,85,22,5,39.24,3040000,77472.0,1,1
223,238,106,5,96,10,3,113.21000000000001,9250000,81707.0,3,1
226,235,107,1,67,40,1,76.64,7500000,97860.0,3,0
230,235,106,11,83,23,3,124.58,10000000,80270.0,2,1
231,235,107,1,67,40,1,59.92,8500000,141856.0,2,0
237,234,106,12,79,27,3,167.36,18400000,109943.0,4,1
238,235,107,1,65,42,1,62.04,8000000,128949.0,2,0
239,235,107,1,65,42,1,62.04,8000000,128949.0,2,0
240,235,107,1,89,18,5,50.36,6480000,128674.0,1,1
241,234,106,12,66,40,1,48.91,2300000,47025.0,4,0
242,234,106,11,68,38,1,103.26,15000000,145264.0,3,0
243,235,107,1,65,42,1,78.75,8000000,101587.0,3,0
244,234,107,1,50,57,1,51.73,5500000,106321.0,0,0
246,241,107,1,79,28,3,130.34,14000000,107411.0,3,0
251,241,106,12,64,42,1,196.35,17000000,86580.0,1,0
253,241,107,2,70,37,1,35.0,3750000,107143.0,2,0
255,241,107,1,104,3,3,299.27,34200000,129970.0,3,1
256,241,106,12,59,47,1,60.27,5000000,82960.0,3,0
257,241,106,12,63,43,1,93.32,8200000,87870.0,3,0
258,241,107,1,86,21,3,123.47,15150000,122702.0,3,1
259,241,106,12,104,2,3,372.47,44800000,130397.0,4,1
261,241,107,1,74,33,1,152.52,20500000,134409.0,5,0
262,241,107,1,95,12,5,45.05,5000000,110988.0,1,1
265,251,107,1,104,3,3,120.97,5750000,47532.0,2,1
268,251,107,2,99,8,3,212.77999999999997,28000000,131591.0,3,1
269,251,107,1,105,2,3,170.4,8420000,52651.0,3,1
271,251,107,1,103,4,3,159.9,9000000,56285.0,3,1
272,251,106,12,84,22,3,166.11,6500000,39131.0,3,1
273,251,107,1,83,24,3,159.82,7500000,46928.0,3,1
274,251,107,1,82,25,2,139.63,6300000,45119.0,3,1
276,251,107,1,82,25,3,149.81,10160000,67819.0,3,1
277,251,106,12,98,8,6,252.54,18000000,71276.0,4,1
278,221,107,1,85,22,3,87.72,3700000,42180.0,2,1
279,221,107,1,85,22,2,155.71,11300000,72571.0,3,1
282,231,107,1,50,57,1,106.78,10600000,99270.0,4,0
283,231,107,1,79,28,1,189.67,9600000,50614.0,5,1
284,222,107,1,50,57,6,93.33,17035000,182524.0,5,0
287,231,106,11,79,27,6,103.67,15200000,146619.0,3,1
288,231,107,1,88,19,6,119.65,14000000,117008.0,3,1
293,231,107,1,71,36,1,94.07,6000000,63782.0,3,1
294,231,107,1,86,21,2,33.4,3000000,89820.0,1,1
300,242,106,12,85,21,3,109.4,11150000,101920.0,4,1
301,242,106,12,71,35,1,78.72,5000000,63516.0,5,0
